               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13961,            0.024043,            0.058649,              0.4819,            0.022084,           0.0042651,          0.00082777,             0.12942,            0.017499,            0.061786,           0.0033232,           0.0033232,            0.070091
                   1,             0.13171,            0.027022,            0.043853,             0.29117,            0.030754,           0.0085418,           0.0017031,             0.12856,            0.022074,            0.060591,           0.0066543,           0.0066543,            0.040089
                   2,             0.12989,            0.028447,             0.03661,            0.082534,            0.018797,           0.0062816,           0.0012396,             0.13065,            0.088667,             0.12766,           0.0099833,           0.0099833,            0.010085
                   3,             0.12731,             0.02915,            0.031669,             0.47136,            0.091131,            0.036793,           0.0090197,             0.12269,            0.018668,            0.043668,           0.0099901,           0.0099901,           0.0099901
                   4,             0.12525,             0.02978,            0.026914,             0.63243,            0.092115,            0.051768,            0.012447,             0.12058,            0.022763,            0.044797,           0.0099901,           0.0099901,           0.0099901
                   5,             0.12339,            0.029911,            0.023241,             0.59463,             0.12373,            0.091597,            0.025588,             0.11782,            0.020854,            0.042731,           0.0099868,           0.0099868,           0.0099868
                   6,             0.12203,            0.029534,            0.020892,             0.66542,              0.1691,             0.14551,            0.043796,             0.11556,            0.018967,            0.031123,           0.0099835,           0.0099835,           0.0099835
                   7,             0.12073,            0.029934,            0.018745,              0.6938,              0.1869,             0.16754,            0.049969,              0.1139,            0.018326,            0.025687,           0.0099802,           0.0099802,           0.0099802
                   8,              0.1198,            0.029521,            0.017781,             0.61241,             0.20558,             0.17376,            0.055829,             0.11346,            0.021976,            0.035028,           0.0099769,           0.0099769,           0.0099769
                   9,             0.11867,             0.02914,            0.017224,             0.55488,             0.22222,             0.21327,            0.071755,             0.11062,             0.01877,            0.023967,           0.0099736,           0.0099736,           0.0099736
                  10,             0.11809,            0.029728,            0.016492,              0.4696,             0.23481,             0.21994,            0.074453,             0.10975,            0.018764,            0.022433,           0.0099703,           0.0099703,           0.0099703
                  11,             0.11733,             0.02895,            0.015111,                0.49,             0.27296,              0.2401,            0.085719,             0.10889,            0.019127,            0.024694,            0.009967,            0.009967,            0.009967
                  12,             0.11649,            0.029609,            0.014061,             0.51963,             0.27976,             0.26443,            0.098385,             0.10626,             0.01845,            0.019595,           0.0099637,           0.0099637,           0.0099637
                  13,             0.11602,            0.029615,            0.013973,              0.5228,             0.28448,             0.27529,             0.10038,             0.10529,            0.018784,            0.019276,           0.0099604,           0.0099604,           0.0099604
                  14,             0.11592,            0.029435,            0.014728,             0.59841,             0.27045,             0.28897,             0.11573,             0.10551,            0.018451,            0.019007,           0.0099571,           0.0099571,           0.0099571
                  15,             0.11507,            0.029026,            0.012784,             0.49563,             0.32151,             0.31238,             0.12092,             0.10297,            0.018267,            0.017268,           0.0099538,           0.0099538,           0.0099538
                  16,             0.11473,            0.029469,            0.012997,             0.49369,              0.3433,             0.32121,             0.12727,             0.10282,            0.018161,            0.016826,           0.0099505,           0.0099505,           0.0099505
                  17,             0.11451,            0.029565,            0.012827,             0.56345,             0.31681,             0.32063,             0.12986,             0.10202,            0.019058,            0.016856,           0.0099472,           0.0099472,           0.0099472
                  18,             0.11365,            0.028783,            0.012163,             0.59397,             0.33316,             0.35113,             0.14366,             0.10123,            0.018427,             0.01587,           0.0099439,           0.0099439,           0.0099439
                  19,             0.11351,            0.029087,             0.01242,             0.48881,             0.37414,             0.34928,             0.14222,             0.10142,            0.018762,            0.016373,           0.0099406,           0.0099406,           0.0099406
                  20,             0.11375,            0.028977,            0.011817,             0.52814,             0.37693,             0.36268,             0.15186,             0.10018,            0.018632,            0.015171,           0.0099373,           0.0099373,           0.0099373
                  21,             0.11296,            0.029045,            0.011632,             0.53761,             0.38793,             0.37293,             0.15465,            0.099187,            0.018436,            0.014234,            0.009934,            0.009934,            0.009934
                  22,              0.1136,            0.029396,            0.012779,             0.52371,             0.36928,             0.35412,             0.14598,             0.10019,            0.018349,            0.015287,           0.0099307,           0.0099307,           0.0099307
                  23,             0.11235,            0.028838,             0.01172,              0.5372,             0.39733,             0.38717,             0.16434,            0.098758,            0.018456,            0.014391,           0.0099274,           0.0099274,           0.0099274
                  24,             0.11271,            0.029021,            0.011228,             0.55631,             0.40744,             0.39628,             0.17093,             0.09788,            0.018204,             0.01339,           0.0099241,           0.0099241,           0.0099241
                  25,             0.11285,             0.02904,            0.010777,             0.59343,             0.40756,             0.41056,             0.17718,            0.097446,            0.018182,            0.012943,           0.0099208,           0.0099208,           0.0099208
                  26,             0.11141,             0.02909,            0.010707,             0.56555,              0.4173,             0.40378,             0.17697,            0.097428,            0.018304,            0.013674,           0.0099175,           0.0099175,           0.0099175
                  27,             0.11145,            0.028792,            0.010311,             0.57961,             0.43047,             0.42425,               0.186,            0.096803,            0.018156,            0.012565,           0.0099142,           0.0099142,           0.0099142
                  28,             0.11239,            0.029098,            0.011742,             0.58956,             0.41633,             0.41442,             0.18176,             0.09718,            0.018317,            0.012757,           0.0099109,           0.0099109,           0.0099109
                  29,             0.11132,             0.02888,            0.010532,             0.63353,             0.41453,             0.42592,             0.19107,            0.096274,            0.018007,            0.012006,           0.0099076,           0.0099076,           0.0099076
                  30,             0.11137,            0.028822,            0.010473,             0.59142,              0.4313,             0.43586,             0.19182,              0.0962,             0.01817,            0.012246,           0.0099043,           0.0099043,           0.0099043
                  31,             0.11143,            0.028634,            0.010068,             0.63663,             0.42232,             0.44351,             0.20099,            0.095737,            0.018099,            0.011829,            0.009901,            0.009901,            0.009901
                  32,             0.11079,            0.028518,            0.009772,             0.61436,             0.43904,             0.45013,             0.20718,             0.09525,            0.018099,            0.011483,           0.0098977,           0.0098977,           0.0098977
                  33,             0.11053,            0.028846,           0.0097068,             0.59726,             0.45443,             0.45757,             0.21013,            0.094889,            0.018052,            0.011256,           0.0098944,           0.0098944,           0.0098944
                  34,              0.1114,            0.028879,            0.010488,              0.6142,             0.43966,             0.44477,             0.20435,            0.095053,             0.01834,            0.011766,           0.0098911,           0.0098911,           0.0098911
                  35,             0.11101,            0.028768,            0.010962,             0.63146,             0.43199,             0.45047,             0.20581,            0.095152,            0.018231,            0.012205,           0.0098878,           0.0098878,           0.0098878
                  36,             0.10972,             0.02834,           0.0092824,             0.63137,             0.45049,             0.46143,             0.21313,             0.09475,             0.01807,            0.011656,           0.0098845,           0.0098845,           0.0098845
                  37,             0.11008,            0.028268,             0.01019,             0.63114,             0.45082,             0.46608,             0.21543,            0.094427,            0.018105,             0.01141,           0.0098812,           0.0098812,           0.0098812
                  38,             0.11048,             0.02873,           0.0093602,             0.62731,             0.45671,             0.46988,             0.21991,             0.09421,             0.01807,            0.011118,           0.0098779,           0.0098779,           0.0098779
                  39,             0.11028,            0.028466,           0.0098919,             0.65714,              0.4476,             0.47376,             0.22226,            0.093992,            0.018041,            0.011121,           0.0098746,           0.0098746,           0.0098746
                  40,             0.10954,            0.028097,           0.0095005,              0.6438,             0.45695,             0.47388,             0.22266,            0.093889,            0.018104,            0.011075,           0.0098713,           0.0098713,           0.0098713
                  41,             0.10946,            0.028655,           0.0090127,              0.6614,             0.45325,             0.47759,             0.22593,             0.09367,            0.018035,              0.0109,            0.009868,            0.009868,            0.009868
                  42,             0.10936,            0.028388,           0.0094067,             0.65487,             0.45973,             0.48043,             0.22763,            0.093496,            0.018057,            0.010791,           0.0098647,           0.0098647,           0.0098647
                  43,             0.10938,            0.028509,           0.0091607,             0.66302,             0.46128,             0.48339,             0.22904,            0.093348,            0.018041,             0.01066,           0.0098614,           0.0098614,           0.0098614
                  44,             0.10937,            0.028179,            0.008799,             0.64685,             0.46873,             0.48466,              0.2293,            0.093195,            0.018024,            0.010605,           0.0098581,           0.0098581,           0.0098581
                  45,             0.10871,            0.028658,           0.0088338,             0.67054,             0.46019,              0.4877,             0.23143,            0.093085,            0.018008,            0.010543,           0.0098548,           0.0098548,           0.0098548
                  46,             0.10895,            0.027945,           0.0088804,              0.6812,             0.46092,             0.49278,             0.23474,            0.092966,            0.018023,            0.010482,           0.0098515,           0.0098515,           0.0098515
                  47,             0.10952,            0.028445,           0.0094165,             0.65636,             0.47302,             0.49541,             0.23711,            0.092854,            0.018028,            0.010454,           0.0098482,           0.0098482,           0.0098482
                  48,             0.10873,            0.028585,           0.0090601,             0.65952,             0.47405,             0.49816,              0.2392,            0.092752,            0.018022,            0.010412,           0.0098449,           0.0098449,           0.0098449
                  49,             0.10911,            0.028526,           0.0099909,              0.6634,             0.47338,             0.49973,             0.24027,            0.092656,            0.018049,            0.010398,           0.0098416,           0.0098416,           0.0098416
                  50,             0.10974,            0.028742,           0.0096925,             0.65041,             0.48356,             0.49868,             0.23956,            0.092692,            0.018146,            0.010485,           0.0098383,           0.0098383,           0.0098383
                  51,             0.10825,            0.027867,           0.0085404,             0.66161,             0.47932,             0.50021,             0.24032,            0.092622,             0.01815,            0.010465,            0.009835,            0.009835,            0.009835
                  52,             0.10932,            0.028287,           0.0095401,             0.64744,             0.48815,             0.50082,             0.24119,            0.092572,            0.018128,            0.010463,           0.0098317,           0.0098317,           0.0098317
                  53,             0.10893,            0.028049,           0.0089548,             0.66316,             0.48143,             0.50168,             0.24172,            0.092525,            0.018131,            0.010434,           0.0098284,           0.0098284,           0.0098284
                  54,             0.10815,            0.028102,           0.0080903,             0.65986,             0.48506,             0.50272,             0.24259,            0.092462,            0.018121,            0.010391,           0.0098251,           0.0098251,           0.0098251
                  55,             0.10723,            0.027612,           0.0082885,             0.66818,             0.48237,             0.50457,             0.24387,            0.092388,            0.018096,            0.010346,           0.0098218,           0.0098218,           0.0098218
                  56,             0.10794,            0.027841,           0.0085939,             0.66584,             0.48424,             0.50491,             0.24454,            0.092323,            0.018081,            0.010311,           0.0098185,           0.0098185,           0.0098185
                  57,             0.10851,            0.028143,           0.0093597,             0.66741,             0.48754,             0.50591,             0.24585,            0.092269,             0.01808,            0.010271,           0.0098152,           0.0098152,           0.0098152
                  58,             0.10799,            0.028128,           0.0081891,             0.66797,             0.48855,             0.50796,             0.24702,            0.092214,            0.018051,             0.01023,           0.0098119,           0.0098119,           0.0098119
                  59,             0.10818,              0.0282,           0.0086268,             0.66306,             0.48996,             0.50796,             0.24757,             0.09218,            0.018039,            0.010217,           0.0098086,           0.0098086,           0.0098086
                  60,              0.1083,            0.027977,           0.0091036,             0.67023,             0.48755,             0.50846,             0.24788,            0.092131,             0.01803,            0.010197,           0.0098053,           0.0098053,           0.0098053
                  61,             0.10723,            0.027561,           0.0083991,             0.66197,             0.49188,             0.50896,             0.24876,            0.092074,            0.018012,            0.010177,            0.009802,            0.009802,            0.009802
                  62,             0.10862,            0.028338,           0.0094992,              0.6746,             0.48772,              0.5102,             0.24875,            0.092024,               0.018,            0.010135,           0.0097987,           0.0097987,           0.0097987
                  63,             0.10875,            0.028045,           0.0093072,             0.67991,             0.48623,             0.51099,             0.24917,            0.091997,            0.017982,            0.010121,           0.0097954,           0.0097954,           0.0097954
                  64,              0.1074,            0.028194,            0.008076,              0.6788,             0.48753,             0.51284,             0.25017,            0.091947,            0.017958,            0.010092,           0.0097921,           0.0097921,           0.0097921
                  65,             0.10787,            0.028082,           0.0078037,             0.68279,             0.48572,             0.51315,             0.25054,            0.091899,            0.017942,            0.010066,           0.0097888,           0.0097888,           0.0097888
                  66,             0.10733,            0.027445,           0.0079752,             0.68092,             0.48747,             0.51452,              0.2513,            0.091848,            0.017929,            0.010042,           0.0097855,           0.0097855,           0.0097855
                  67,             0.10667,            0.027682,           0.0077991,             0.69225,             0.48341,             0.51574,             0.25174,            0.091794,            0.017924,            0.010012,           0.0097822,           0.0097822,           0.0097822
                  68,             0.10761,            0.027823,           0.0078972,             0.69716,             0.48214,             0.51667,             0.25254,            0.091739,            0.017911,           0.0099729,           0.0097789,           0.0097789,           0.0097789
                  69,             0.10843,            0.027962,           0.0083329,               0.694,             0.48413,              0.5174,              0.2532,            0.091691,            0.017894,           0.0099426,           0.0097756,           0.0097756,           0.0097756
                  70,             0.10731,            0.027377,           0.0078787,             0.69719,             0.48361,             0.51881,              0.2537,            0.091645,             0.01788,           0.0099154,           0.0097723,           0.0097723,           0.0097723
                  71,             0.10701,            0.027727,           0.0077493,             0.69822,             0.48385,             0.51987,             0.25483,            0.091597,            0.017876,           0.0098847,            0.009769,            0.009769,            0.009769
                  72,               0.107,            0.027456,             0.00769,             0.67769,             0.49411,             0.51954,             0.25518,             0.09154,            0.017863,           0.0098596,           0.0097657,           0.0097657,           0.0097657
                  73,             0.10797,            0.028237,            0.009575,             0.67591,             0.49594,             0.51991,             0.25628,            0.091492,             0.01785,            0.009814,           0.0097624,           0.0097624,           0.0097624
                  74,             0.10814,            0.028315,           0.0094937,             0.70056,             0.48474,             0.52045,             0.25684,            0.091458,            0.017795,           0.0097755,           0.0097591,           0.0097591,           0.0097591
                  75,             0.10782,            0.028088,           0.0083838,             0.70745,             0.47956,             0.52079,               0.257,            0.091473,            0.017691,            0.009762,           0.0097558,           0.0097558,           0.0097558
                  76,             0.10757,            0.028245,           0.0081919,              0.7065,             0.47964,             0.51955,             0.25668,            0.091478,            0.017667,           0.0097614,           0.0097525,           0.0097525,           0.0097525
                  77,             0.10742,            0.027398,           0.0076278,             0.70189,             0.48199,             0.51992,             0.25727,            0.091462,            0.017653,            0.009755,           0.0097492,           0.0097492,           0.0097492
                  78,             0.10667,            0.027488,           0.0077487,             0.71678,             0.47724,             0.52108,             0.25756,            0.091432,            0.017653,           0.0097413,           0.0097459,           0.0097459,           0.0097459
                  79,              0.1065,             0.02753,           0.0079586,             0.71378,             0.47815,             0.52152,             0.25806,            0.091379,            0.017644,           0.0097109,           0.0097426,           0.0097426,           0.0097426
                  80,               0.107,            0.027567,           0.0076538,             0.70752,             0.48016,             0.52157,             0.25928,             0.09133,            0.017648,           0.0096932,           0.0097393,           0.0097393,           0.0097393
                  81,             0.10697,             0.02749,           0.0076678,             0.70777,             0.47981,             0.52234,                0.26,            0.091283,            0.017642,           0.0096673,            0.009736,            0.009736,            0.009736
                  82,             0.10779,            0.028063,           0.0086322,             0.69275,             0.48599,             0.52298,             0.26068,            0.091246,            0.017634,           0.0096509,           0.0097327,           0.0097327,           0.0097327
                  83,             0.10719,            0.027697,           0.0074127,             0.69267,             0.48687,             0.52378,             0.26169,            0.091207,            0.017633,           0.0096342,           0.0097294,           0.0097294,           0.0097294
                  84,             0.10789,            0.027983,           0.0085049,             0.69005,             0.48928,             0.52443,             0.26256,            0.091155,            0.017644,           0.0096269,           0.0097261,           0.0097261,           0.0097261
                  85,             0.10649,            0.027661,           0.0076215,              0.6891,             0.49107,             0.52569,               0.263,            0.091118,            0.017656,            0.009616,           0.0097228,           0.0097228,           0.0097228
                  86,             0.10596,            0.027407,           0.0076435,             0.69826,             0.48708,             0.52564,             0.26374,            0.091083,            0.017655,           0.0096158,           0.0097195,           0.0097195,           0.0097195
                  87,             0.10648,            0.027425,           0.0075544,             0.71247,             0.48263,             0.52642,             0.26409,            0.091047,            0.017662,           0.0096102,           0.0097162,           0.0097162,           0.0097162
                  88,             0.10626,            0.027052,           0.0073617,             0.70106,             0.48761,             0.52695,             0.26457,            0.091009,            0.017666,           0.0096088,           0.0097129,           0.0097129,           0.0097129
                  89,             0.10649,            0.027412,           0.0075768,             0.71082,             0.48392,             0.52702,             0.26509,            0.090974,            0.017671,           0.0096061,           0.0097096,           0.0097096,           0.0097096
                  90,             0.10906,            0.029011,            0.010856,             0.70473,             0.48672,             0.52701,             0.26514,            0.090966,            0.017672,           0.0096265,           0.0097063,           0.0097063,           0.0097063
                  91,             0.10756,            0.027808,           0.0082528,             0.68647,              0.4958,             0.52726,             0.26537,            0.090956,            0.017673,           0.0096496,            0.009703,            0.009703,            0.009703
